PetID,PetType,Breed,AgeMonths,Color,Size,WeightKg,Vaccinated,HealthCondition,TimeInShelterDays,AdoptionFee,PreviousOwner,AdoptionLikelihood
PET0092,Cat,Sphynx,107,Black,Medium,32.95,1,0,313,75,1,0
PET0093,Cat,Scottish Fold,16,Gray,Medium,15.19,1,0,49,25,1,0
PET0094,Cat,Ragdoll,68,Black,Small,32.84,0,0,118,100,1,1
PET0095,Cat,Siamese,116,Orange,Small,10.47,1,1,54,75,0,0
PET0096,Cat,Sphynx,37,Mixed,Medium,0.54,0,0,138,100,0,0
PET0097,Cat,Siamese,54,Brown,Small,6.78,0,0,53,100,1,1
PET0098,Dog,German Shepherd,85,White,Medium,19.01,1,1,44,75,0,1
PET0099,Dog,German Shepherd,14,Black,Small,37.8,1,1,303,100,0,0
PET0100,Dog,Bulldog,95,White,Large,4.54,1,0,53,25,0,0
PET0101,Dog,German Shepherd,55,Gray,Medium,34.24,1,1,74,75,0,1
PET0102,Cat,Ragdoll,48,Brown,Small,21.32,0,1,46,50,1,0
PET0103,Dog,Yorkshire Terrier,82,Brown,Large,33.12,0,0,13,150,0,0
PET0104,Cat,Sphynx,7,Black,Small,12.29,1,0,165,25,1,1
PET0105,Rabbit,Holland Lop,74,Mixed,Small,33.68,1,0,102,75,0,0
PET0106,Dog,Rottweiler,7,Brown,Medium,31.03,1,0,280,100,1,0
PET0107,Dog,Chihuahua,33,Black,Medium,9.59,0,0,258,75,0,0
PET0108,Cat,Siamese,23,Black,Medium,5.69,1,0,337,25,0,0
PET0109,Dog,Bulldog,85,White,Small,34.79,0,0,356,75,0,0
PET0110,Dog,Labrador,19,Brown,Medium,38.55,0,0,138,100,0,1
PET0111,Dog,Poodle,112,Black,Small,1.74,1,0,163,100,0,1
PET0112,Dog,Golden Retriever,19,White,Small,29.39,0,0,111,75,1,1
PET0113,Bird,Cockatiel,36,Orange,Large,36.43,0,0,102,75,1,0
PET0114,Rabbit,Holland Lop,29,White,Medium,34.37,1,0,17,75,0,1
PET0115,Cat,Siamese,60,White,Small,38.6,1,0,268,100,0,1
PET0116,Rabbit,Holland Lop,82,Black,Medium,30.52,1,1,182,75,0,0
PET0117,Rabbit,Lionhead,2,Gray,Small,17.97,0,0,24,75,0,0
PET0118,Dog,Golden Retriever,1,Gray,Large,12.82,0,0,29,50,1,0
PET0119,Rabbit,Flemish Giant,47,Mixed,Small,13.17,0,0,171,0,1,1
PET0120,Cat,Siamese,69,Gray,Small,29.11,0,0,228,50,0,1
PET0121,Rabbit,Flemish Giant,20,White,Medium,29.96,1,0,188,25,0,1
PET0122,Rabbit,Dutch,11,Mixed,Medium,8.41,1,1,346,75,0,1
PET0123,Dog,Bulldog,106,Black,Medium,34.79,1,1,230,100,1,1
PET0124,Dog,Yorkshire Terrier,2,Brown,Small,28.74,1,0,321,50,0,1
PET0125,Dog,Chihuahua,67,White,Small,22.73,1,0,340,150,1,0
PET0126,Dog,Chihuahua,87,White,Medium,19.13,1,1,119,0,1,0
PET0127,Rabbit,Mini Rex,119,Mixed,Small,21.96,1,0,156,100,0,0
PET0128,Rabbit,Lionhead,12,Black,Large,6.79,1,0,272,100,1,0
PET0129,Dog,Rottweiler,20,Orange,Small,8.55,1,1,175,75,0,0
PET0130,Cat,Ragdoll,5,White,Medium,4.1,0,0,104,25,1,0
PET0131,Dog,Rottweiler,37,Orange,Medium,6.57,1,0,92,100,0,1
PET0132,Dog,Yorkshire Terrier,38,Orange,Small,18.42,1,0,186,75,0,1
PET0133,Dog,Bulldog,94,Gray,Medium,21.45,0,1,283,150,1,0
PET0134,Dog,Bulldog,9,Black,Large,1.21,0,0,181,75,1,1
PET0135,Bird,Parrot,98,Orange,Small,31.97,1,0,170,150,1,0
PET0136,Dog,German Shepherd,53,Black,Large,12.12,1,0,187,50,0,1
PET0137,Cat,Bengal,44,Gray,Medium,36.52,1,0,175,100,1,0
PET0138,Cat,Siamese,99,Black,Small,38.72,1,0,222,100,0,0
PET0139,Dog,Bulldog,116,White,Medium,7.83,0,0,233,100,1,1
PET0140,Bird,Parrot,86,Orange,Small,18.75,1,0,162,50,0,1
PET0141,Bird,Finch,108,Black,Medium,0.55,1,0,134,100,1,0
PET0142,Dog,Poodle,24,Brown,Large,24.13,1,1,224,75,1,0
PET0143,Cat,Siamese,81,Black,Large,24.49,1,0,153,100,1,0
PET0144,Dog,Dachshund,74,Orange,Large,10.28,0,1,33,50,0,0
PET0145,Dog,Beagle,30,Gray,Large,22.56,0,0,55,150,0,0
PET0146,Dog,Poodle,59,Gray,Medium,9.41,0,0,7,25,1,0
PET0147,Cat,Sphynx,110,Orange,Small,6.85,1,0,244,100,0,0
PET0148,Cat,Persian,87,White,Medium,26.24,0,1,313,150,1,0
PET0149,Dog,Poodle,96,White,Small,13.37,1,0,126,100,0,0
PET0150,Dog,Yorkshire Terrier,81,Gray,Medium,23.82,1,0,12,75,0,0
PET0151,Rabbit,Lionhead,114,Gray,Medium,17.61,0,0,16,75,1,0
PET0152,Dog,Dachshund,115,Orange,Small,39.38,0,0,208,200,1,0
PET0153,Dog,German Shepherd,81,White,Small,6.41,0,0,43,50,0,0
PET0154,Cat,Persian,14,Gray,Medium,18.85,1,1,135,75,0,1
PET0155,Bird,Cockatiel,9,White,Medium,27.38,0,0,228,100,0,1
PET0156,Dog,Yorkshire Terrier,40,Gray,Medium,16.12,1,1,111,100,1,0
PET0157,Cat,Siamese,66,Black,Medium,39.0,1,0,307,50,0,0
PET0158,Cat,Persian,109,Brown,Medium,29.01,1,0,160,100,1,0
PET0159,Dog,Yorkshire Terrier,25,Mixed,Medium,26.45,1,0,331,100,1,1
PET0160,Cat,Sphynx,103,Black,Small,30.4,1,0,264,25,0,0
PET0161,Dog,Rottweiler,73,Mixed,Small,38.13,1,1,225,150,1,0
PET0162,Cat,Sphynx,118,Gray,Medium,36.36,0,1,217,0,0,0
PET0163,Cat,Maine Coon,22,Brown,Medium,29.11,0,0,45,75,0,0
PET0164,Cat,Abyssinian,107,Brown,Small,30.09,1,0,214,0,1,0
PET0165,Dog,Labrador,110,Gray,Medium,6.26,1,0,59,25,0,0
PET0166,Rabbit,Dutch,4,Gray,Small,4.56,1,1,132,150,0,0
PET0167,Dog,Golden Retriever,26,White,Medium,23.05,0,0,104,75,0,0
PET0168,Dog,Labrador,58,Gray,Medium,1.23,0,0,195,75,0,0
PET0169,Dog,Rottweiler,29,Orange,Medium,19.55,1,1,157,50,0,0
PET0170,Cat,Persian,109,Gray,Large,8.81,0,0,98,75,1,0
PET0171,Cat,Maine Coon,98,Orange,Small,14.17,1,0,226,75,1,0
PET0172,Dog,Golden Retriever,87,Gray,Large,31.14,1,0,205,75,1,0
PET0173,Cat,Abyssinian,37,White,Medium,37.68,1,1,79,50,0,1
PET0174,Dog,Rottweiler,75,Orange,Medium,3.36,1,0,124,150,0,0
PET0175,Cat,Sphynx,70,Black,Medium,21.6,1,0,218,75,0,1
PET0176,Dog,Dachshund,18,Orange,Medium,35.36,0,0,4,75,0,0
PET0177,Cat,Ragdoll,85,White,Medium,3.76,1,0,90,50,0,1
PET0178,Dog,Chihuahua,42,Mixed,Medium,33.07,1,0,104,100,0,1
PET0179,Bird,Cockatiel,100,Orange,Small,14.63,1,0,119,75,0,0
PET0180,Dog,Dachshund,41,Gray,Small,13.22,0,0,133,75,0,1
PET0181,Dog,Rottweiler,38,Gray,Medium,39.11,1,0,312,50,1,0
PET0182,Dog,Bulldog,34,Mixed,Small,8.43,1,0,96,200,1,0
PET0183,Bird,Parrot,17,White,Medium,27.88,0,0,331,50,1,0
PET0184,Rabbit,Mini Rex,37,Brown,Small,32.95,0,1,143,100,1,0
PET0185,Dog,German Shepherd,25,Gray,Medium,2.13,1,0,288,75,1,1
PET0186,Cat,Siamese,102,Black,Large,26.98,1,1,28,50,0,0
PET0187,Rabbit,Mini Rex,76,White,Large,38.09,1,1,278,100,0,0
PET0188,Cat,Maine Coon,87,Orange,Medium,5.41,0,0,233,50,1,0
PET0189,Cat,Abyssinian,117,Orange,Medium,35.9,0,0,17,150,1,0
PET0190,Dog,Yorkshire Terrier,106,Black,Large,23.99,1,0,59,150,1,1
PET0191,Dog,Chihuahua,86,Gray,Medium,24.86,1,0,90,150,1,0
PET0192,Rabbit,Flemish Giant,85,White,Small,24.71,1,0,199,0,0,0
PET0193,Rabbit,Lionhead,27,Black,Large,12.3,1,0,362,100,1,1
PET0194,Cat,Siamese,57,Gray,Medium,37.44,1,0,26,75,1,1
PET0195,Dog,Chihuahua,31,White,Medium,37.92,1,1,25,150,0,0
PET0196,Dog,Yorkshire Terrier,6,Orange,Small,25.2,1,0,301,100,1,1
PET0197,Cat,Persian,91,White,Small,31.45,1,1,339,100,0,0
PET0198,Rabbit,Dutch,40,Mixed,Large,24.68,1,0,267,75,1,0
PET0199,Rabbit,Lionhead,98,Brown,Medium,19.63,1,1,181,75,1,1
PET0200,Cat,Persian,12,White,Small,26.6,1,0,360,25,0,1
PET0201,Cat,Persian,109,Brown,Small,22.34,0,0,68,100,1,0
PET0202,Dog,Golden Retriever,53,White,Medium,24.1,1,0,351,75,0,0
PET0203,Dog,Yorkshire Terrier,71,Brown,Medium,31.46,0,0,321,75,1,0
PET0204,Rabbit,Lionhead,10,Mixed,Small,19.5,1,0,49,100,0,0
PET0205,Cat,Siamese,45,Orange,Large,2.11,1,1,175,75,1,0
PET0206,Dog,Bulldog,17,Gray,Small,6.98,1,0,52,50,0,0
PET0207,Dog,Yorkshire Terrier,26,Brown,Medium,17.82,0,0,102,75,1,0
PET0208,Cat,Bengal,85,Mixed,Medium,29.13,1,0,216,75,0,0
PET0209,Dog,German Shepherd,92,Brown,Small,23.93,1,1,188,75,1,0
PET0210,Dog,Golden Retriever,62,Orange,Large,26.19,0,0,57,0,1,1
PET0211,Cat,Abyssinian,46,Brown,Medium,19.43,0,0,47,50,1,0
PET0212,Cat,Sphynx,64,Mixed,Large,24.82,0,0,159,50,1,0
PET0213,Cat,Siamese,2,Mixed,Small,13.5,0,0,174,100,1,1
PET0214,Dog,Rottweiler,54,Black,Small,19.07,1,0,242,0,0,1
PET0215,Cat,Scottish Fold,107,Orange,Small,29.9,1,1,282,75,0,0
PET0216,Dog,Labrador,65,Black,Medium,34.94,1,0,241,150,0,0
PET0217,Dog,Bulldog,51,Orange,Medium,17.63,1,1,5,25,1,0
PET0218,Cat,Siamese,53,Brown,Large,2.22,0,0,84,75,1,1
PET0219,Cat,Persian,36,Mixed,Medium,6.89,1,0,308,100,0,1
PET0220,Rabbit,Flemish Giant,115,Black,Large,1.32,0,1,361,150,1,0
PET0221,Cat,Sphynx,26,Brown,Medium,26.3,1,0,248,100,1,0
PET0222,Cat,Ragdoll,29,Mixed,Small,13.63,1,1,54,100,1,0
PET0223,Dog,Dachshund,21,Orange,Small,21.93,1,0,161,100,0,0
PET0224,Dog,German Shepherd,11,Mixed,Medium,19.98,1,0,226,75,0,1
PET0225,Dog,Rottweiler,40,Brown,Small,3.72,0,1,15,100,0,0
PET0226,Dog,Beagle,11,Black,Small,16.43,0,0,224,0,1,0
PET0227,Bird,Finch,36,Black,Medium,9.21,0,0,61,150,0,0
PET0228,Dog,Yorkshire Terrier,113,Mixed,Large,17.03,1,0,122,75,0,0
PET0229,Rabbit,Holland Lop,59,Brown,Small,8.54,0,0,277,75,1,0
PET0230,Cat,Bengal,39,White,Large,33.7,1,1,46,50,1,0
PET0231,Cat,Sphynx,104,Orange,Large,7.38,1,0,294,100,1,0
PET0232,Cat,Bengal,99,Orange,Medium,38.45,1,0,62,25,0,1
PET0233,Cat,Sphynx,54,Brown,Small,16.93,0,0,86,150,0,0
PET0234,Cat,Sphynx,98,White,Small,33.93,0,0,210,100,1,0
PET0235,Dog,Chihuahua,55,Black,Medium,25.34,1,0,78,50,0,0
PET0236,Cat,Scottish Fold,111,Gray,Medium,29.55,1,0,202,100,0,0
PET0237,Dog,Golden Retriever,24,Gray,Large,30.83,1,1,302,100,0,0
PET0238,Dog,Rottweiler,118,Brown,Medium,20.44,0,0,223,100,0,1
PET0239,Cat,Abyssinian,22,White,Small,21.96,1,0,222,75,0,0
PET0240,Dog,Yorkshire Terrier,69,White,Small,20.8,1,0,3,50,0,0
PET0241,Bird,Parrot,56,Orange,Medium,23.73,1,0,6,50,0,0
PET0242,Bird,Parrot,33,Black,Small,1.66,1,0,93,50,0,1
PET0243,Rabbit,Flemish Giant,36,Mixed,Small,16.12,0,0,8,150,1,0
PET0244,Dog,Golden Retriever,111,White,Medium,24.44,1,0,235,25,0,0
PET0245,Dog,Rottweiler,20,Mixed,Small,24.11,1,0,108,100,1,1
PET0246,Bird,Cockatiel,83,Gray,Small,31.82,0,0,161,50,0,0
PET0247,Dog,Golden Retriever,99,Mixed,Medium,26.37,1,1,209,75,0,0
PET0248,Bird,Canary,116,Black,Small,39.69,1,1,240,100,1,0
PET0249,Bird,Parrot,107,Black,Small,11.71,1,1,331,150,0,0
PET0250,Rabbit,Lionhead,81,Mixed,Medium,14.69,0,0,333,50,0,0
PET0251,Dog,Beagle,62,Brown,Large,15.66,0,0,50,75,0,0
PET0252,Dog,Beagle,109,White,Small,18.9,1,0,11,75,1,0
PET0253,Rabbit,Holland Lop,107,Brown,Large,33.52,1,0,351,0,0,0
PET0254,Dog,Rottweiler,98,Mixed,Medium,9.81,0,0,156,50,0,0
PET0255,Dog,Beagle,73,White,Medium,31.15,1,1,70,75,1,0
PET0256,Cat,Maine Coon,26,Orange,Large,16.51,1,1,169,75,0,0
PET0257,Bird,Parakeet,66,Brown,Medium,24.27,0,0,272,100,0,1
PET0258,Cat,Siamese,117,Brown,Large,25.49,1,0,68,75,0,1
PET0259,Cat,Abyssinian,73,Mixed,Small,15.23,0,1,355,75,1,0
PET0260,Dog,Rottweiler,73,Gray,Small,20.75,1,0,252,75,0,0
PET0261,Cat,Siamese,40,Mixed,Large,16.81,1,0,48,100,0,0
PET0262,Bird,Parrot,17,Brown,Medium,3.23,0,1,184,150,0,0
PET0263,Dog,Poodle,1,White,Small,17.77,1,0,320,75,1,1
PET0264,Cat,Sphynx,89,Gray,Medium,4.35,1,0,187,100,0,0
PET0265,Rabbit,Dutch,61,Mixed,Large,16.5,1,0,90,50,1,0
PET0266,Cat,Sphynx,43,Mixed,Large,23.92,1,1,332,75,0,1
PET0267,Cat,Ragdoll,104,Brown,Small,23.39,1,0,139,50,1,0
PET0268,Cat,Maine Coon,42,Brown,Large,26.67,0,0,357,75,1,0
PET0269,Dog,Golden Retriever,25,Orange,Small,4.26,0,0,89,100,0,1
PET0270,Dog,Labrador,39,Mixed,Small,26.26,0,0,274,150,0,0
PET0271,Rabbit,Lionhead,35,Brown,Medium,12.83,1,0,19,25,0,1
PET0272,Rabbit,Holland Lop,3,Black,Small,16.26,1,1,311,100,0,0
PET0273,Rabbit,Lionhead,114,Gray,Small,34.39,1,0,358,75,1,0
PET0274,Rabbit,Holland Lop,101,Black,Medium,0.86,0,1,154,25,0,0
PET0275,Cat,Siamese,108,Gray,Small,23.74,1,0,260,50,0,0
PET0276,Cat,Sphynx,44,Mixed,Small,24.15,1,0,108,50,0,1
PET0277,Cat,Scottish Fold,51,Orange,Small,16.17,1,0,285,50,1,0
PET0278,Cat,Sphynx,94,Brown,Medium,9.86,1,0,59,50,0,0
PET0279,Cat,Bengal,102,Brown,Medium,9.77,0,0,125,50,0,0
PET0280,Cat,Sphynx,98,Brown,Large,35.41,0,0,354,50,0,0
PET0281,Rabbit,Mini Rex,12,Mixed,Large,17.96,1,0,273,100,1,0
PET0282,Dog,Golden Retriever,19,Gray,Medium,13.57,1,0,107,75,1,0
PET0283,Dog,Bulldog,101,Brown,Large,18.23,1,0,299,200,0,0
PET0284,Dog,Labrador,44,Black,Small,26.94,1,1,245,75,0,0
PET0285,Cat,Sphynx,59,Brown,Small,6.26,1,1,336,100,0,0
PET0286,Dog,German Shepherd,49,Mixed,Large,18.25,1,0,247,150,0,0
PET0287,Cat,Scottish Fold,61,Orange,Medium,23.72,1,0,8,100,1,0
PET0288,Cat,Siamese,17,Black,Large,37.97,1,0,141,75,1,1
PET0289,Dog,Poodle,74,Brown,Medium,10.47,1,0,362,100,0,0
PET0290,Cat,Abyssinian,57,Brown,Large,14.69,1,0,8,50,1,0
PET0291,Dog,Dachshund,55,White,Medium,15.48,1,1,352,50,0,0
PET0292,Dog,German Shepherd,113,Gray,Medium,24.42,1,0,94,75,1,1
PET0293,Rabbit,Flemish Giant,47,Black,Medium,14.59,1,0,321,75,1,0
PET0294,Dog,Rottweiler,12,White,Medium,21.57,0,1,39,0,0,0
PET0295,Dog,German Shepherd,62,Orange,Medium,31.38,1,0,81,150,1,0
PET0296,Cat,Ragdoll,80,Gray,Large,28.36,1,1,187,100,0,0
PET0297,Cat,Persian,88,Black,Small,18.13,1,0,84,75,0,1
PET0298,Dog,Poodle,83,Brown,Small,34.64,1,0,88,150,0,1
PET0299,Cat,Persian,8,Black,Medium,22.55,1,0,242,75,0,1
PET0300,Dog,Labrador,95,Brown,Medium,21.83,1,0,342,200,1,0
PET0301,Dog,Yorkshire Terrier,21,Gray,Large,1.85,1,1,93,75,1,1
PET0302,Cat,Maine Coon,81,Brown,Small,39.47,0,0,86,25,1,1
PET0303,Cat,Abyssinian,87,Orange,Medium,5.36,1,1,44,100,1,0
PET0304,Cat,Scottish Fold,101,Mixed,Medium,9.63,1,0,137,100,1,0
PET0305,Cat,Sphynx,118,Brown,Medium,2.54,1,0,74,100,0,0
PET0306,Bird,Parrot,80,Orange,Large,25.78,0,0,36,200,0,0
PET0307,Cat,Sphynx,70,Mixed,Small,9.38,0,0,101,100,0,1
PET0308,Dog,Labrador,72,Gray,Medium,7.61,1,1,156,100,1,0
PET0309,Cat,Bengal,25,Gray,Large,4.0,0,0,255,150,1,0
PET0310,Dog,German Shepherd,82,Black,Large,4.58,0,0,171,100,0,0
PET0311,Dog,Poodle,89,Orange,Medium,23.59,0,0,216,75,1,0
PET0312,Dog,Rottweiler,12,Orange,Medium,27.68,0,0,170,150,1,0
PET0313,Dog,Yorkshire Terrier,15,White,Small,16.2,0,0,252,50,0,0
PET0314,Bird,Cockatiel,59,White,Medium,19.46,1,0,360,100,0,0
PET0315,Rabbit,Lionhead,26,Mixed,Large,27.6,1,1,322,150,0,1
PET0316,Cat,Maine Coon,105,Mixed,Medium,1.19,1,0,55,100,0,1
PET0317,Dog,Bulldog,109,White,Small,13.26,1,0,91,100,0,1
PET0318,Dog,Labrador,26,Mixed,Small,38.94,1,0,278,100,0,1
PET0319,Dog,Rottweiler,47,Brown,Small,23.41,0,0,101,75,0,0
PET0320,Dog,Beagle,32,White,Small,10.54,0,1,155,150,0,0
PET0321,Cat,Ragdoll,10,Orange,Small,21.11,1,0,349,50,1,0
PET0322,Cat,Scottish Fold,16,Brown,Medium,14.03,0,0,364,25,0,0
PET0323,Cat,Bengal,71,Mixed,Small,21.52,1,0,141,50,1,1
PET0324,Dog,Rottweiler,17,Gray,Small,5.47,1,0,173,75,0,0
PET0325,Bird,Parrot,23,Black,Medium,5.74,1,0,10,75,0,1
PET0326,Cat,Persian,26,White,Small,6.17,0,1,228,100,1,0
PET0327,Cat,Bengal,85,Gray,Small,37.62,1,1,265,75,0,0
PET0328,Cat,Sphynx,86,Mixed,Small,29.45,1,1,248,75,0,0
PET0329,Dog,Bulldog,7,Orange,Small,6.91,0,0,247,0,1,1
PET0330,Dog,Poodle,14,Black,Medium,7.94,1,0,155,75,0,1
PET0331,Dog,Poodle,79,Gray,Small,29.37,1,0,34,100,0,1
PET0332,Cat,Bengal,117,Black,Large,6.67,1,0,129,0,0,1
PET0333,Dog,Bulldog,7,White,Large,9.77,0,1,160,50,0,0
PET0334,Dog,Dachshund,9,Mixed,Medium,38.55,1,0,89,50,0,1
PET0335,Dog,Golden Retriever,115,Orange,Medium,10.58,1,1,93,0,0,0
PET0336,Dog,Yorkshire Terrier,48,Mixed,Large,26.63,1,0,327,75,1,0
PET0337,Rabbit,Flemish Giant,72,Black,Medium,39.16,0,0,241,50,1,0
PET0338,Cat,Siamese,114,Gray,Small,15.28,1,0,323,100,1,1
PET0339,Cat,Persian,59,White,Medium,1.19,0,0,117,100,1,1
PET0340,Dog,German Shepherd,87,White,Large,10.14,1,0,94,75,1,0
